,0
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
11,8
12,9
13,10
14,11
15,12
18,13
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
29,22
30,23
31,24
33,25
34,26
36,27
37,28
38,29
39,30
40,31
41,32
43,33
44,34
45,35
46,36
47,37
48,38
49,39
50,40
51,41
52,42
54,43
56,44
58,45
59,46
60,47
62,48
65,49
66,50
68,51
70,52
71,53
73,54
74,55
76,56
78,57
79,58
81,59
82,60
83,61
86,62
87,63
88,64
89,65
91,66
92,67
93,68
94,69
95,70
97,71
99,72
100,73
101,74
102,75
103,76
104,77
105,78
106,79
107,80
110,81
112,82
113,83
114,84
115,85
116,86
117,87
118,88
119,89
120,90
121,91
122,92
124,93
125,94
126,95
128,96
132,97
133,98
134,99
135,100
136,101
137,102
138,103
139,104
140,105
141,106
142,107
144,108
145,109
146,110
148,111
149,112
150,113
151,114
152,115
153,116
154,117
155,118
157,119
158,120
159,121
161,122
163,123
164,124
167,125
168,126
169,127
170,128
171,129
172,130
173,131
174,132
175,133
177,134
178,135
179,136
180,137
181,138
182,139
185,140
186,141
187,142
188,143
189,144
190,145
192,146
193,147
194,148
195,149
196,150
197,151
198,152
201,153
203,154
204,155
206,156
208,157
209,158
210,159
211,160
212,161
214,162
215,163
216,164
217,165
218,166
219,167
220,168
221,169
222,170
223,171
224,172
225,173
226,174
227,175
228,176
229,177
230,178
232,179
233,180
234,181
235,182
236,183
237,184
239,185
240,186
241,187
242,188
245,189
246,190
247,191
248,192
249,193
250,194
251,195
252,196
253,197
254,198
255,199
256,200
257,201
258,202
260,203
262,204
263,205
265,206
266,207
267,208
268,209
269,210
270,211
271,212
272,213
274,214
276,215
278,216
279,217
280,218
281,219
283,220
285,221
286,222
287,223
288,224
289,225
290,226
294,227
295,228
296,229
297,230
298,231
299,232
300,233
301,234
302,235
303,236
305,237
306,238
308,239
309,240
310,241
311,242
312,243
313,244
314,245
315,246
317,247
318,248
319,249
320,250
321,251
322,252
323,253
325,254
328,255
330,256
331,257
333,258
334,259
335,260
336,261
337,262
339,263
340,264
341,265
342,266
344,267
345,268
347,269
348,270
349,271
350,272
351,273
352,274
353,275
354,276
355,277
356,278
357,279
358,280
359,281
360,282
361,283
362,284
363,285
364,286
365,287
366,288
367,289
368,290
369,291
370,292
371,293
372,294
374,295
375,296
376,297
377,298
378,299
379,300
380,301
381,302
382,303
383,304
384,305
385,306
386,307
387,308
388,309
390,310
391,311
393,312
394,313
395,314
399,315
400,316
401,317
402,318
404,319
405,320
406,321
408,322
410,323
411,324
413,325
414,326
415,327
416,328
417,329
418,330
419,331
420,332
422,333
423,334
424,335
425,336
426,337
428,338
430,339
431,340
432,341
433,342
435,343
436,344
437,345
439,346
440,347
441,348
442,349
443,350
444,351
445,352
446,353
447,354
448,355
449,356
450,357
451,358
454,359
455,360
456,361
457,362
458,363
459,364
460,365
462,366
463,367
464,368
465,369
466,370
467,371
469,372
470,373
471,374
472,375
473,376
474,377
475,378
476,379
477,380
478,381
479,382
480,383
481,384
482,385
483,386
484,387
485,388
486,389
487,390
488,391
490,392
491,393
492,394
493,395
495,396
498,397
499,398
500,399
501,400
502,401
503,402
504,403
506,404
507,405
510,406
511,407
512,408
513,409
514,410
515,411
517,412
518,413
520,414
521,415
525,416
527,417
528,418
529,419
